Participant,Experimental_Group,Age,Sex,Rank_AI1,Rank_AI2,Rank_AI3,Rank_AI4,Rank_AI5,Rank_AI6,Rank_AI7,Rank_AI8,Rank_AI9,Rank_AI10,Rank_AI11,Rank_AI12,Rank_AI13,Rank_AI14,Rank_AI15,Rank_Human1,Rank_Human2,Rank_Human3,Rank_Human4,Rank_Human5,Rank_Human6,Rank_Human7,Rank_Human8,Rank_Human9,Rank_Human10,Rank_Human11,Rank_Human12,Rank_Human13,Rank_Human14,Rank_Human15,Dis_AI1,Dis_AI2,Dis_AI3,Dis_AI4,Dis_AI5,Dis_AI6,Dis_AI7,Dis_AI8,Dis_AI9,Dis_AI10,Dis_AI11,Dis_AI12,Dis_AI13,Dis_AI14,Dis_AI15,Dis_Hum1,Dis_Hum2,Dis_Hum3,Dis_Hum4,Dis_Hum5,Dis_Hum6,Dis_Hum7,Dis_Hum8,Dis_Hum9,Dis_Hum10,Dis_Hum11,Dis_Hum12,Dis_Hum13,Dis_Hum14,Dis_Hum15,Con_AI1,Con_AI2,Con_AI3,Con_AI4,Con_AI5,Con_AI6,Con_AI7,Con_AI8,Con_AI9,Con_AI10,Con_AI11,Con_AI12,Con_AI13,Con_AI14,Con_AI15,Con_Hum1,Con_Hum2,Con_Hum3,Con_Hum4,Con_Hum5,Con_Hum6,Con_Hum7,Con_Hum8,Con_Hum9,Con_Hum10,Con_Hum11,Con_Hum12,Con_Hum13,Con_Hum14,Con_Hum15,Unp_AI1,Unp_AI2,Unp_AI3,Unp_AI4,Unp_AI5,Unp_AI6,Unp_AI7,Unp_AI8,Unp_AI9,Unp_AI10,Unp_AI11,Unp_AI12,Unp_AI13,Unp_AI14,Unp_AI15,Unp_Hum1,Unp_Hum2,Unp_Hum3,Unp_Hum4,Unp_Hum5,Unp_Hum6,Unp_Hum7,Unp_Hum8,Unp_Hum9,Unp_Hum10,Unp_Hum11,Unp_Hum12,Unp_Hum13,Unp_Hum14,Unp_Hum15,Lapp_AI1,Lapp_AI2,Lapp_AI3,Lapp_AI4,Lapp_AI5,Lapp_AI6,Lapp_AI7,Lapp_AI8,Lapp_AI9,Lapp_AI10,Lapp_AI11,Lapp_AI12,Lapp_AI13,Lapp_AI14,Lapp_AI15,Lapp_Hum1,Lapp_Hum2,Lapp_Hum3,Lapp_Hum4,Lapp_Hum5,Lapp_Hum6,Lapp_Hum7,Lapp_Hum8,Lapp_Hum9,Lapp_Hum10,Lapp_Hum11,Lapp_Hum12,Lapp_Hum13,Lapp_Hum14,Lapp_Hum15,recruitment_platform
51,Disclosed,21.0,Male,24.0,26.0,16.0,25.0,12.0,6.0,3.0,10.0,5.0,14.0,29.0,30.0,23.0,21.0,20.0,18.0,19.0,28.0,2.0,13.0,1.0,15.0,8.0,22.0,9.0,17.0,7.0,11.0,27.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Prolific
52,Not Disclosed,19.0,Male,14.0,26.0,28.0,22.0,12.0,11.0,13.0,27.0,1.0,7.0,6.0,20.0,17.0,24.0,21.0,23.0,18.0,10.0,30.0,16.0,19.0,5.0,8.0,3.0,2.0,29.0,9.0,4.0,25.0,15.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,Prolific
53,Not Disclosed,23.0,Male,6.0,9.0,17.0,4.0,27.0,3.0,1.0,14.0,2.0,30.0,24.0,5.0,21.0,20.0,26.0,12.0,19.0,28.0,23.0,10.0,11.0,16.0,15.0,13.0,29.0,18.0,25.0,22.0,7.0,8.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,Prolific
54,Disclosed,24.0,Female,20.0,4.0,7.0,19.0,27.0,28.0,5.0,23.0,22.0,25.0,11.0,2.0,8.0,1.0,16.0,6.0,14.0,18.0,10.0,12.0,13.0,29.0,9.0,30.0,26.0,24.0,21.0,3.0,17.0,15.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,2.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,Prolific
55,Not Disclosed,,Female,10.0,7.0,8.0,3.0,4.0,1.0,5.0,16.0,2.0,9.0,14.0,22.0,15.0,21.0,11.0,27.0,20.0,23.0,6.0,17.0,13.0,28.0,26.0,24.0,18.0,29.0,12.0,30.0,19.0,25.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,SONA
56,Disclosed,20.0,Female,12.0,6.0,5.0,3.0,4.0,1.0,8.0,14.0,7.0,15.0,2.0,11.0,13.0,10.0,9.0,24.0,17.0,28.0,26.0,16.0,18.0,29.0,27.0,21.0,25.0,22.0,20.0,19.0,30.0,23.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,SONA
57,Not Disclosed,20.0,Female,17.0,8.0,21.0,19.0,2.0,20.0,27.0,14.0,25.0,15.0,26.0,28.0,23.0,6.0,11.0,29.0,22.0,1.0,7.0,10.0,12.0,4.0,3.0,5.0,16.0,13.0,24.0,30.0,9.0,18.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,SONA
58,Not Disclosed,19.0,Female,16.0,23.0,25.0,13.0,17.0,28.0,19.0,20.0,15.0,14.0,18.0,30.0,24.0,3.0,7.0,22.0,8.0,2.0,10.0,27.0,4.0,1.0,9.0,11.0,26.0,12.0,5.0,21.0,6.0,29.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,SONA
59,Not Disclosed,20.0,Male,13.0,14.0,11.0,16.0,2.0,1.0,28.0,3.0,27.0,5.0,15.0,29.0,17.0,20.0,23.0,12.0,8.0,25.0,26.0,21.0,6.0,9.0,24.0,4.0,7.0,19.0,10.0,22.0,30.0,18.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,SONA
60,Disclosed,21.0,Male,17.0,15.0,23.0,2.0,25.0,5.0,26.0,8.0,1.0,20.0,21.0,3.0,11.0,16.0,4.0,30.0,13.0,9.0,7.0,19.0,10.0,6.0,12.0,27.0,29.0,28.0,18.0,22.0,14.0,24.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,SONA
61,Disclosed,20.0,Male,8.0,15.0,14.0,1.0,7.0,12.0,2.0,22.0,17.0,9.0,18.0,29.0,28.0,25.0,3.0,4.0,20.0,23.0,24.0,13.0,21.0,19.0,26.0,27.0,16.0,5.0,11.0,30.0,6.0,10.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,SONA
62,Not Disclosed,20.0,Female,19.0,26.0,25.0,5.0,6.0,2.0,1.0,8.0,13.0,24.0,18.0,22.0,11.0,10.0,27.0,12.0,15.0,17.0,20.0,30.0,7.0,16.0,29.0,4.0,21.0,3.0,14.0,23.0,9.0,28.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,5.0,2.0,1.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,5.0,4.0,4.0,1.0,4.0,1.0,5.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,5.0,4.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,1.0,4.0,1.0,5.0,3.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,1.0,2.0,2.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,3.0,5.0,4.0,5.0,1.0,3.0,1.0,SONA
63,Disclosed,20.0,Male,7.0,21.0,28.0,14.0,18.0,4.0,2.0,22.0,13.0,19.0,5.0,23.0,20.0,10.0,6.0,29.0,9.0,30.0,3.0,12.0,17.0,24.0,11.0,8.0,15.0,26.0,16.0,27.0,1.0,25.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,2.0,5.0,2.0,SONA
64,Not Disclosed,20.0,Male,26.0,28.0,27.0,16.0,13.0,14.0,12.0,20.0,3.0,17.0,10.0,25.0,2.0,6.0,15.0,7.0,11.0,30.0,21.0,23.0,5.0,9.0,8.0,29.0,1.0,18.0,4.0,22.0,19.0,24.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,1.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,SONA
65,Disclosed,21.0,Female,1.0,2.0,5.0,7.0,10.0,16.0,19.0,12.0,11.0,23.0,15.0,24.0,21.0,8.0,3.0,26.0,17.0,27.0,20.0,4.0,13.0,28.0,18.0,6.0,14.0,22.0,9.0,29.0,30.0,25.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,SONA
66,Not Disclosed,20.0,Female,28.0,14.0,17.0,9.0,16.0,23.0,25.0,3.0,19.0,1.0,26.0,21.0,15.0,7.0,6.0,30.0,22.0,5.0,4.0,24.0,2.0,11.0,27.0,18.0,10.0,12.0,20.0,29.0,8.0,13.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,SONA
67,Disclosed,21.0,Female,1.0,4.0,3.0,16.0,21.0,26.0,8.0,11.0,23.0,10.0,25.0,20.0,17.0,2.0,14.0,5.0,22.0,30.0,24.0,12.0,15.0,9.0,28.0,19.0,7.0,18.0,6.0,13.0,29.0,27.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,SONA
68,Disclosed,19.0,Female,14.0,7.0,22.0,2.0,13.0,1.0,17.0,4.0,6.0,25.0,12.0,30.0,9.0,5.0,8.0,27.0,23.0,26.0,19.0,15.0,11.0,29.0,28.0,21.0,24.0,3.0,18.0,10.0,20.0,16.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,SONA
69,Not Disclosed,21.0,Female,2.0,28.0,4.0,20.0,3.0,5.0,12.0,7.0,19.0,14.0,15.0,8.0,24.0,30.0,29.0,16.0,27.0,6.0,25.0,18.0,17.0,21.0,10.0,11.0,9.0,26.0,22.0,23.0,1.0,13.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,SONA
70,Not Disclosed,23.0,Female,7.0,28.0,11.0,6.0,5.0,10.0,15.0,1.0,3.0,9.0,2.0,22.0,8.0,25.0,16.0,21.0,4.0,27.0,13.0,19.0,17.0,29.0,20.0,26.0,23.0,18.0,12.0,30.0,14.0,24.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,SONA
